data_referencia,codigo,ticker_bbg,emissor,tipo_remuneracao,remuneracao,data_vcto,tx_compra,tx_venda,tx_indicativa,pu_indicativo,desp_pad,intervalo_indicativo_min,intervalo_indicativo_ax,PU_pct_par,duration,ref_ntnb,z_spread,lei_12431,vna,pu_par,RTG_SP_NATIONAL,RTG_FITCH_NATIONAL,AMT_OUTSTANDING,PAYMENT_RANK,COLLAT_TYP,CALLABLE,DUR_ADJ_MID,BICS_LEVEL_1_SECTOR_NAME,CPN_TYP,ISSUE_DT,AMT_OUTSTANDING,INDUSTRY_SECTOR,INDUSTRY_GROUP
4/24/2026,BCBF16,BS015180     Corp,BCBF PARTICIPAÇÕES S/A (*) (**),DI SPREAD,"DI + 1,4500%",07/10/2027,13.1713,5.4292,8.2716,633.557848,0.3559,7.9157,8.6275,94.3523,223.1953,,8.2716,NÃO,666.667,671.481417,#N/A N/A,AA+(bra),800000400,Sr Unsecured,SR UNSECURED,Y,0.490360253,Financials,FLOATING,07.out.2021,800000400,Financial,Insurance
4/24/2026,BRMLA1,YV462664     Corp,BR MALLS PARTICIPAÇÕES S/A (*),DI SPREAD,"DI + 0,6300%",20/08/2031,0.8232,0.4432,0.6399,1024.509271,0.0356,0.6044,0.6756,99.965,897.0308,,0.6399,NÃO,1000,1024.868119,#N/A N/A,AAA(bra),641834000,Sr Unsecured,SR UNSECURED,Y,2.576757819,Financials,FLOATING,20.ago.2024,641834000,Financial,Real Estate
4/24/2026,BRST14,YN201532     Corp,BRISANET SERVICOS DE TELECOMUNICACOES S.A. (*),DI SPREAD,"DI + 1,4000%",15/05/2031,1.9014,1.35,1.624,1059.886663,0.0031,1.6209,1.6272,99.3513,742.5389,,1.624,NÃO,1000,1066.80654,brAA-,#N/A N/A,300000000,Sr Unsecured,SR UNSECURED,Y,2.239381519,Communications,FLOATING,15.mai.2025,300000000,Communications,Telecommunications
4/24/2026,CAEC32,YW267089     Corp,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*),DI SPREAD,"DI + 2,5000%",15/06/2031,1.9673,1.275,1.551,1089.823136,0.1621,1.389,1.7132,102.9526,791.2317,,1.551,NÃO,1000,1058.568199,#N/A N/A,AA-(bra),171500000,Sr Unsecured,SR UNSECURED,Y,2.192035428,Utilities,FLOATING,15.jun.2024,171500000,Utilities,Water
4/24/2026,CAMLA1,BS511075     Corp,CAMIL ALIMENTOS S/A,DI SPREAD,"DI + 1,5500%",30/10/2028,3.8218,1.5045,1.651,1073.566989,0.2142,1.4368,1.8654,99.8344,419.9454,,1.651,NÃO,1000,1075.347241,NR,#N/A N/A,150000000,Sr Unsecured,SR UNSECURED,Y,1.312547549,Consumer Staples,FLOATING,17.nov.2021,150000000,"Consumer, Non-cyclical",Food
4/24/2026,CASN24,YP893365     Corp,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN (*),IPCA SPREAD,"IPCA + 9,9878%",15/04/2032,8.2232,8.1684,8.1903,1104.065189,0.0269,8.1635,8.2173,105.6314,842.5098,15/08/2030,2.2858,SIM,1042.83895,1045.205381,#N/A N/A,#N/A N/A,330000000,Secured,SR SECURED,N,2.607348838,Utilities,FIXED,15.abr.2025,330000000,Utilities,Water
4/24/2026,CDAR11,BZ626685     Corp,UNIDAS LOCADORA S.A. (*) (**),DI SPREAD,"DI + 2,0000%",27/09/2027,1.8586,1.558,1.7037,1013.80573,0.0532,1.6504,1.757,100.2535,219.3821,,1.7037,NÃO,1000,1011.242433,#N/A N/A,#N/A N/A,1500000000,Sr Unsecured,SR UNSECURED,Y,0.496802569,Consumer Discretionary,FLOATING,27.set.2022,1500000000,"Consumer, Non-cyclical",Commercial Services
4/24/2026,CEAB14,YJ570051     Corp,C E A MODAS S.A. (*),DI SPREAD,"DI + 0,8000%",15/09/2028,1.6327,0.7983,1.2675,1005.947621,0.0239,1.2437,1.2915,99.0448,522.4648,,1.2675,NÃO,1000,1015.648692,#N/A N/A,AA(bra),200000000,Sr Unsecured,SR UNSECURED,Y,1.92816277,Consumer Discretionary,FLOATING,15.set.2025,200000000,"Consumer, Cyclical",Retail
4/24/2026,CEEBB8,YX783151     Corp,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),DI SPREAD,"DI + 1,1000%",10/06/2031,1.2659,0.615,0.8752,1063.221585,0.2722,0.603,1.1475,100.7433,839.0624,,0.8752,NÃO,1000,1055.37741,brAAA,#N/A N/A,500000000,Sr Unsecured,SR UNSECURED,Y,2.385038225,Utilities,FLOATING,10.jun.2024,500000000,Utilities,Electric
4/24/2026,CEEBC3,BS207993     Corp,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),IPCA SPREAD,"IPCA + 5,8224%",15/10/2031,7.7076,7.5275,7.6392,1183.462472,0.1117,7.5275,7.7511,93.495,992.2137,15/08/2030,1.0508,SIM,1264.0989,1265.803332,brAAA,#N/A N/A,320000000,Sr Unsecured,COMPANY GUARNT,N,3.296980644,Utilities,FIXED,29.out.2021,320000000,Utilities,Electric
4/24/2026,CEEBC4,BV957586     Corp,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),IPCA SPREAD,"IPCA + 6,2792%",15/04/2032,7.6993,7.486,7.6128,1135.097085,0.0958,7.517,7.7087,94.7873,1078.5619,15/05/2031,1.1803,SIM,1195.78548,1197.52061,brAAA,#N/A N/A,400000000,Sr Unsecured,COMPANY GUARNT,N,3.612994503,Utilities,FIXED,20.abr.2022,400000000,Utilities,Electric
4/24/2026,CEEBD1,DC001961     Corp,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),PREFIXADO,"PREFIXADO + 11,6692%",15/11/2032,13.5623,12.7763,13.4484,972.105182,0.1131,13.3353,13.5616,93.0856,1131.4117,,2.3371,SIM,1000,1044.313711,#N/A N/A,#N/A N/A,2100000000,Sr Unsecured,SR UNSECURED,N,#N/A N/A,Utilities,FIXED,15.nov.2025,2100000000,Utilities,Electric
4/24/2026,CEEBD2,DC004021     Corp,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),IPCA SPREAD,"IPCA + 6,3000%",15/11/2035,7.5923,7.4412,7.5148,969.346954,0.0313,7.4835,7.5462,92.2623,1770.861,15/05/2035,1.3865,SIM,1025.72504,1050.641956,#N/A N/A,#N/A N/A,1200000000,Sr Unsecured,SR UNSECURED,N,6.597052088,Utilities,FIXED,15.nov.2025,1200000000,Utilities,Electric
4/24/2026,CERO19,ZB921576     Corp,CENTRAIS ELETRICAS DE RONDONIA S/A CERON,DI SPREAD,"DI + 0,8500%",15/04/2029,0.8331,0.4512,0.7024,1007.146739,0.0868,0.6156,0.7893,100.3671,630.6592,,0.7024,NÃO,1000,1003.462582,#N/A N/A,#N/A N/A,280000000,Sr Unsecured,SR UNSECURED,N,2.362224774,Utilities,FLOATING,15.abr.2024,280000000,Utilities,Electric
4/24/2026,CESPA4,YL319683     Corp,CESP-COMPANHIA ENERGETICA DE SAO PAULO (*),DI SPREAD,"DI + 0,6200%",14/08/2032,1.1335,0.8859,1.0349,1008.915193,0.0802,0.9547,1.1152,98.3318,1028.0106,,1.0349,NÃO,1000,1026.031401,#N/A N/A,AAA(bra),2100000000,Sr Unsecured,SR UNSECURED,Y,2.836767364,Utilities,FLOATING,14.ago.2025,2100000000,Utilities,Electric
4/24/2026,CGASB1,YW771152     Corp,COMPANHIA DE GAS DE SÃO PAULO - COMGAS (*),IPCA SPREAD,"IPCA + 6,4504%",15/07/2039,7.5216,7.3454,7.4081,1025.262386,0.0309,7.3772,7.4391,92.7441,2098.4491,15/05/2037,1.3405,SIM,1087.25364,1105.474182,#N/A N/A,#N/A N/A,750000000,Sr Unsecured,SR UNSECURED,N,#N/A N/A,Utilities,FIXED,15.jul.2024,750000000,Utilities,Gas
